relation,type,run,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_shift_param,fault,10,0.01826154,0.02755665,0.18862707,0.01099155,0.17116405,0.40238716,1.83508789,40,True
fault_shift_param,fault,11,0.04239251,0.01623564,0.11257328,0.01127661,0.20581314,0.2206584,1.49999901,40,True
fault_shift_param,fault,12,0.15478894,0.31179436,0.70731422,0.31056335,0.70707541,0.93392659,2.08975205,40,True
fault_shift_param,fault,13,0.01271342,0.02737638,0.21237689,0.01273021,0.12691728,0.32503404,2.04992673,40,True
fault_shift_param,fault,14,0.00026029,0.01056897,0.05459068,0.00220773,0.04202595,0.02139619,0.2777252,40,True
fault_shift_param,fault,15,0.01007241,0.05111971,0.57543109,0.03668475,0.56818627,1.57138659,2.80027328,40,True
fault_shift_param,fault,16,0.02941445,0.03195004,0.22010465,0.02107358,0.27072681,1.19421715,2.42147899,40,True
fault_shift_param,fault,17,0.00118006,0.0230868,0.7235519,0.02842812,0.97659169,0.27445403,1.819704,40,True
fault_shift_param,fault,18,0.0343224,0.0644315,0.31444095,0.01673685,0.11206831,1.45174818,3.17295156,40,True
fault_shift_param,fault,19,0.00737486,0.01277573,0.07010619,0.00504991,0.06384573,0.41478485,1.11850094,40,True
fault_shift_param,fault,20,0.22839079,0.23278843,0.70716083,0.23630624,0.73804436,1.3514731,2.91378516,40,True
fault_shift_param,fault,21,0.29796043,0.36862965,0.70570254,0.24831749,0.77933601,2.38663289,3.67759198,40,True
fault_shift_param,fault,22,0.07644152,0.02431026,0.1046027,0.02909727,0.31773009,0.83799248,1.96944705,40,True
fault_shift_param,fault,23,0.26660658,0.42994229,0.81396481,0.34791754,0.75737839,0.76907409,2.42438212,40,True
fault_shift_param,fault,24,0.15163643,0.54399686,1.44414727,0.58143078,1.49085373,1.55371377,3.14290447,40,True
fault_shift_param,fault,25,0.01502346,0.62247138,1.43295603,0.65810917,1.45502131,2.09955862,3.32836055,40,True
fault_shift_param,fault,26,0.01672823,0.09001606,1.13663164,0.05335158,1.08463761,0.81757886,2.27482627,40,True
fault_shift_param,fault,27,0.4552256,0.5658939,0.85152236,0.27835856,0.74520077,0.72842812,2.1043733,40,True
fault_shift_param,fault,28,0.26867354,0.52719804,0.81792142,0.31026605,0.76002762,0.40210798,1.57409551,40,True
fault_shift_param,fault,29,0.03908829,0.04598936,0.42450895,0.03028221,0.23414995,1.22678094,2.08995454,40,True
fault_shift_param,fault,30,0.30798225,0.45887353,1.4762053,0.42051127,1.45301185,2.50722859,3.89310076,40,True
fault_change_entanglement,fault,1,0.00915659,0.11155135,0.9469206,0.10691883,0.98103478,1.06874266,2.62053269,40,True
fault_change_entanglement,fault,2,0.04692897,0.13099169,0.84179082,0.10831041,0.8477597,1.94056876,2.79445312,40,True
fault_change_entanglement,fault,3,0.05442371,0.08836876,0.55236515,0.05613915,0.51148199,1.74530593,2.35826812,40,True
fault_change_entanglement,fault,4,0.04827418,0.14223019,0.49347109,0.08706565,0.47093149,2.69038294,3.98968661,40,True
fault_change_entanglement,fault,5,0.08961306,0.14046386,0.88102037,0.11178653,0.64715644,1.97416151,2.87457496,40,True
fault_change_entanglement,fault,6,0.02895418,0.08846772,0.62350844,0.08629415,0.64615064,2.34820269,3.35856679,40,True
