relation,type,run,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
fault_shift_param,fault,30,48,48,33,33,0.25662183,0.3299673,1.21846833,0.25598633,0.952413,2.65324863,3.91264572,120,True
fault_change_entanglement,fault,1,48,48,33,27,0.22736061,0.31323363,1.25847742,0.20135531,1.09339452,2.44700379,3.75943533,120,True
fault_change_entanglement,fault,2,48,48,33,29,0.26745589,0.22506866,1.22058771,0.19054229,0.98628077,3.36649319,4.66734842,120,True
fault_change_entanglement,fault,3,48,48,33,27,0.56784071,0.3350932,1.44627137,0.1284528,1.20090227,2.42738537,3.43328389,120,True
fault_change_entanglement,fault,4,48,48,33,28,0.43565555,0.25465115,0.96203858,0.1271008,0.8959942,2.40718605,3.40070552,120,True
fault_change_entanglement,fault,5,48,48,33,27,0.15471905,0.1904589,1.07279912,0.14567784,0.85514318,1.96944182,2.75025087,120,True
fault_change_entanglement,fault,6,48,48,33,26,0.16880942,0.34628535,1.371104,0.18656184,1.08602445,3.25493106,4.10717719,120,True
fault_change_entanglement,fault,7,48,48,33,28,0.48131131,0.31845291,1.10627917,0.17914405,0.99833353,2.83099918,4.25345102,120,True
fault_change_entanglement,fault,8,48,48,33,29,0.42960704,0.28642217,1.33615431,0.14506648,1.17172057,2.05546494,3.22396203,120,True
fault_change_entanglement,fault,9,48,48,33,26,0.25241585,0.1480062,0.81424154,0.12255658,0.80741734,3.06812078,4.50347997,120,True
fault_change_entanglement,fault,10,48,48,33,28,0.21992011,0.26156499,1.26634547,0.16577755,1.09827925,2.21455793,3.12270817,120,True
fault_change_entanglement,fault,11,48,48,33,26,0.04406451,0.22569799,0.92038862,0.19303281,0.91112091,2.99351721,4.40026924,120,True
fault_change_entanglement,fault,12,48,48,33,27,0.11908781,0.18034557,1.00036537,0.16626737,0.83988468,2.6240321,3.91733393,120,True
fault_change_entanglement,fault,13,48,48,33,29,0.31919329,0.28875709,1.19225005,0.18671006,1.23895967,2.19784258,3.23544624,120,True
fault_change_entanglement,fault,14,48,48,33,28,0.23288132,0.27323123,1.58163138,0.17813817,1.04623949,3.37610753,4.75306704,120,True
fault_change_entanglement,fault,15,48,48,33,27,0.02512714,0.1659906,1.51965721,0.11299218,1.13743965,2.97007197,4.14114878,120,True
fault_change_entanglement,fault,16,48,48,33,28,0.08060546,0.25905137,1.18625005,0.19612224,1.22224335,3.05112303,4.30006975,120,True
fault_change_entanglement,fault,17,48,48,33,27,0.17078609,0.21312645,1.30750957,0.17189143,1.19363911,3.39276176,4.73434995,120,True
fault_change_entanglement,fault,18,48,48,33,28,0.55854058,0.39045198,1.38032047,0.15648383,0.83668067,3.28566497,4.58186602,120,True
fault_change_entanglement,fault,19,48,48,33,28,0.19800727,0.23338306,1.11095714,0.16383298,0.91745804,2.45761097,3.9756882,120,True
fault_change_entanglement,fault,20,48,48,33,27,0.02403003,0.21047469,1.00215184,0.18048902,0.96176664,3.41974016,5.35139719,120,True
fault_change_entanglement,fault,21,48,48,33,29,0.47495276,0.31526787,1.30994883,0.23780446,1.08909503,3.2280997,4.92501119,120,True
fault_change_entanglement,fault,22,48,48,33,28,0.11505277,0.18698846,1.04209714,0.13048953,1.06715938,2.98291351,4.14157548,120,True
fault_change_entanglement,fault,23,48,48,33,27,0.37189687,0.26417515,1.219558,0.16899763,0.91252972,2.94742195,4.27231836,120,True
fault_change_entanglement,fault,24,48,48,33,27,0.47290427,0.3797994,1.21716136,0.18488809,0.92883604,2.52589205,3.97671455,120,True
fault_change_entanglement,fault,25,48,48,33,31,0.11327434,0.13196989,1.04388825,0.09528103,0.88565647,2.50809707,3.39739827,120,True
fault_change_entanglement,fault,26,48,48,33,26,0.76114206,0.47877493,1.43434415,0.19945741,1.3558396,3.25780786,4.61577223,120,True
fault_change_entanglement,fault,27,48,48,33,30,0.0421133,0.14519693,0.93201238,0.07770311,0.94653193,2.44141945,3.35251172,120,True
fault_change_entanglement,fault,28,48,48,33,26,0.58728102,0.33083606,1.1920778,0.11244358,0.80649656,2.289997,3.06581899,120,True
