phase,relation,type,run,num_qubits,reps,maxiter,shots,optimizer,oracle_variant,noise_model,one_qubit_error_rate,two_qubit_error_rate,readout_error_rate,include_thermal,energy_threshold,symmetry_threshold,param_threshold,random_seed,pair_seed,transform_seed,hamiltonian_symmetry_commute,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,energy_violation,symmetry_violation,violation
noisy_shot_based,fault_shift_param,fault,1,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300000,2000,True,48,48,33,33,0.36083984,0.22941239,0.55371094,0.10057454,0.55078125,0.9560931,1.5601532,257,True,True,True
noisy_shot_based,fault_shift_param,fault,2,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300001,2001,True,48,48,33,33,0.12207031,0.18081986,0.53173828,0.04411631,0.24316406,1.00012299,1.68389898,257,True,False,True
noisy_shot_based,fault_shift_param,fault,3,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300002,2002,True,48,48,33,33,0.07128906,0.17507448,0.53271484,0.12590817,0.40625,1.15390514,1.9083429,257,False,True,True
noisy_shot_based,fault_shift_param,fault,4,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300003,2003,True,48,48,33,33,0.08056641,0.07595718,0.40039062,0.03753876,0.19628906,0.94419022,1.5179438,257,False,False,False
noisy_shot_based,fault_shift_param,fault,5,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300004,2004,True,48,48,33,33,0.14697266,0.18921943,0.34863281,0.03180858,0.15820312,0.38662101,0.85843444,257,True,False,True
noisy_shot_based,fault_shift_param,fault,6,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300005,2005,True,48,48,33,33,0.02636719,0.03598652,0.18408203,0.02504864,0.12109375,0.32191103,0.7298474,257,False,False,False
noisy_shot_based,fault_shift_param,fault,7,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300006,2006,True,48,48,33,33,0.00732422,0.04855834,0.22851562,0.04129301,0.27246094,0.9538789,1.48443863,257,False,False,False
noisy_shot_based,fault_shift_param,fault,8,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300007,2007,True,48,48,33,33,0.08349609,0.18263429,0.51123047,0.06017829,0.25683594,0.7476309,1.38082749,257,False,True,True
noisy_shot_based,fault_shift_param,fault,9,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300008,2008,True,48,48,33,33,0.16601562,0.21712366,0.44970703,0.04933731,0.25683594,0.45375588,1.23675897,257,True,False,True
noisy_shot_based,fault_shift_param,fault,10,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300009,2009,True,48,48,33,33,0.14257812,0.14858379,0.61230469,0.12598036,0.48242188,1.21152935,2.00087939,257,True,True,True
noisy_shot_based,fault_shift_param_strong,fault,1,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300000,2000,True,48,48,33,33,1.03613281,1.04029365,1.56982422,0.83688366,1.61230469,1.1949899,1.89444503,257,True,True,True
noisy_shot_based,fault_shift_param_strong,fault,2,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300001,2001,True,48,48,33,33,0.10498047,0.08399767,0.3046875,0.04772617,0.21679688,0.48710359,0.91394959,257,True,False,True
noisy_shot_based,fault_shift_param_strong,fault,3,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300002,2002,True,48,48,33,33,0.06884766,0.11841485,0.5,0.07353478,0.43457031,1.48762245,2.55848936,257,False,True,True
noisy_shot_based,fault_shift_param_strong,fault,4,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300003,2003,True,48,48,33,33,0.29589844,0.3672084,1.01708984,0.31418714,0.94335938,1.08438602,1.80929186,257,True,True,True
noisy_shot_based,fault_shift_param_strong,fault,5,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300004,2004,True,48,48,33,33,0.34912109,0.57261331,1.43945312,0.28770595,0.97949219,1.49899429,2.3550737,257,True,True,True
noisy_shot_based,fault_shift_param_strong,fault,6,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300005,2005,True,48,48,33,33,0.49804688,0.51491063,0.91113281,0.28872051,0.94335938,1.02893486,1.70371895,257,True,True,True
noisy_shot_based,fault_shift_param_strong,fault,7,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300006,2006,True,48,48,33,33,0.34375,0.27124118,0.95214844,0.09239345,0.50488281,1.91140705,3.40838281,257,True,True,True
noisy_shot_based,fault_shift_param_strong,fault,8,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300007,2007,True,48,48,33,33,0.00634766,0.07330109,0.36279297,0.05798957,0.23925781,0.95710812,1.62821451,257,False,True,True
noisy_shot_based,fault_shift_param_strong,fault,9,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300008,2008,True,48,48,33,33,0.52050781,0.52547612,1.0546875,0.35783986,0.85351562,1.4649917,2.28799765,257,True,True,True
noisy_shot_based,fault_shift_param_strong,fault,10,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300009,2009,True,48,48,33,33,0.52978516,0.54510617,1.12548828,0.38188914,0.92285156,1.36073898,2.63801338,257,True,True,True
noisy_shot_based,fault_change_entanglement,fault,1,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300000,2000,True,48,48,33,27,0.09130859,0.10227307,0.36328125,0.08548912,0.28320312,1.11619884,2.71063088,257,False,True,True
noisy_shot_based,fault_change_entanglement,fault,2,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300001,2001,True,48,48,33,27,0.29003906,0.25155794,0.73486328,0.11353964,0.37402344,1.58570863,2.43346236,257,True,True,True
noisy_shot_based,fault_change_entanglement,fault,3,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300002,2002,True,48,48,33,28,0.07910156,0.12836667,0.67382812,0.15409548,0.51855469,1.62248705,2.47566069,257,False,True,True
noisy_shot_based,fault_change_entanglement,fault,4,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300003,2003,True,48,48,33,28,0.03222656,0.12660544,0.45703125,0.1329265,0.44335938,0.91841331,1.64557705,257,False,True,True
noisy_shot_based,fault_change_entanglement,fault,5,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300004,2004,True,48,48,33,29,0.13671875,0.11865614,0.48828125,0.0911699,0.37597656,1.17184364,2.08857616,257,True,True,True
